type;tag_address;anchor_address;ground_truth;range;receive_power;first_path_power;receive_quality;temperature;voltage
0;177;178;2.0;156.31;-73.37;194.52;194.62;45.8;3.3
0;177;179;2.0;156.4;-69;194.52;194.62;45.8;3.3
0;177;178;2.0;156.25;-74.62;194.52;194.62;45.8;3.3
0;177;179;2.0;156.43;-69.37;194.52;194.62;45.8;3.3
0;177;178;2.0;156.27;-73.83;194.52;194.62;45.8;3.30578
0;177;179;2.0;156.4;-68.92;194.52;194.62;45.8;3.3
0;177;178;2.0;156.3;-73.54;194.52;194.62;45.8;3.3
0;177;179;2.0;156.41;-69.35;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.34;-73.34;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.39;-69.28;194.52;194.62;45.8;3.3
0;177;178;2.0;156.28;-73.54;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.41;-69.68;194.52;194.62;45.8;3.3
0;177;178;2.0;156.32;-71.78;194.52;194.62;-100.12;2.548555
0;177;179;2.0;156.4;-70.09;194.52;194.62;45.8;3.29422
0;177;178;2.0;156.28;-73.63;194.52;194.62;-100.12;3.288439
0;177;179;2.0;156.4;-69.04;194.52;194.62;45.8;3.3
0;177;178;2.0;156.32;-73.7;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.42;-69.87;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.32;-71.73;194.52;194.62;46.94;3.29422
0;177;179;2.0;156.43;-69.3;194.52;194.62;46.94;3.3
0;177;178;2.0;156.31;-73.25;194.52;194.62;-100.12;3.3
0;177;179;2.0;156.42;-69.46;194.52;194.62;45.8;3.3
0;177;178;2.0;156.29;-73.92;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.41;-69.75;194.52;194.62;45.8;3.3
0;177;178;2.0;156.3;-73.96;194.52;194.62;45.8;3.30578
0;177;179;2.0;156.42;-69.5;194.52;194.62;-100.12;2.548555
0;177;178;2.0;156.32;-73.12;194.52;194.62;45.8;3.3
0;177;179;2.0;156.45;-69.17;194.52;194.62;45.8;3.3
0;177;178;2.0;156.32;-73.78;194.52;194.62;45.8;3.3
0;177;179;2.0;156.41;-69.25;194.52;194.62;45.8;3.3
0;177;178;2.0;156.27;-73.48;194.52;194.62;-100.12;2.548555
0;177;179;2.0;156.39;-69.26;194.52;194.62;46.94;3.30578
0;177;178;2.0;156.29;-73.51;194.52;194.62;45.8;3.3
0;177;179;2.0;156.41;-69.74;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.29;-73.27;194.52;194.62;45.8;3.29422
0;177;179;2.0;156.4;-69.03;194.52;194.62;44.66;3.30578
0;177;178;2.0;156.26;-73.6;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.42;-69.02;194.52;194.62;-100.12;3.288439
0;177;178;2.0;156.32;-73.43;194.52;194.62;46.94;3.3
0;177;179;2.0;156.42;-69.29;194.52;194.62;-100.12;2.548555
0;177;178;2.0;156.29;-73.38;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.43;-69.03;194.52;194.62;45.8;3.29422
0;177;178;2.0;156.3;-73.63;194.52;194.62;-100.12;2.548555
0;177;179;2.0;156.39;-69.19;194.52;194.62;45.8;3.29422
0;177;178;2.0;156.29;-71.81;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.4;-69.73;194.52;194.62;45.8;3.3
0;177;178;2.0;156.31;-73.5;194.52;194.62;45.8;3.3
0;177;179;2.0;156.4;-69.24;194.52;194.62;46.94;3.30578
0;177;178;2.0;156.27;-73.61;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.36;-69.6;194.52;194.62;46.94;3.3
