time;sec;nsec;id;x;y;z;qx;qy;qz;qw
1513594452.2188365;1513594452;218836618;66;3.6767455662777238;-3.555851518525003;0.0;0.0;0.0;0.0;1.0
1513594452.2188365;1513594452;218836618;66;4.015793995280953;-3.0866826054201906;0.0;0.0;0.0;0.0;1.0
1513594452.2188365;1513594452;218836618;66;4.326481290032408;-2.503044360985883;0.0;0.0;0.0;0.0;1.0
1513594452.2188365;1513594452;218836618;66;4.591147167489449;-1.7290088264933867;0.0;0.0;0.0;0.0;1.0
1513594452.2188365;1513594452;218836618;66;4.718177917876427;-0.9581264587972869;0.0;0.0;0.0;0.0;1.0
1513594452.2188365;1513594452;218836618;80;0.2795227732960302;-0.6506192995601755;0.0;0.0;0.0;-0.06993957667964247;0.9975512295686234
1513594452.2188365;1513594452;218836618;80;0.2886988405511481;-0.6613347423111372;0.0;0.0;0.0;-0.07995764575100418;0.9967982618794823
1513594452.2188365;1513594452;218836618;80;0.2775170217049098;-0.6424465899307018;0.0;0.0;0.0;-0.08368321008114056;0.9964924085764606
1513594452.2188365;1513594452;218836618;80;0.28769485142870205;-0.6451647439479363;0.0;0.0;0.0;-0.08493265236120397;0.996386694292377
1513594452.2188365;1513594452;218836618;80;0.29340635585821195;-0.6596095902810679;0.0;0.0;0.0;-0.03395759742622535;0.9994232744823579
1513594452.2188365;1513594452;218836618;80;0.3032713313972454;-0.6626250769687648;0.0;0.0;0.0;-0.05806757412393676;0.9983126548508544
1513594452.2188365;1513594452;218836618;80;0.3089218570611749;-0.6562944587721457;0.0;0.0;0.0;-0.055269346978280176;0.9984714814578304
1513594452.2188365;1513594452;218836618;80;0.3281474581169137;-0.6642158533983946;0.0;0.0;0.0;-0.046436201050247476;0.998921257773615
1513594452.2188365;1513594452;218836618;80;0.3065067890634921;-0.6781402065082321;0.0;0.0;0.0;-0.06872473483954923;0.9976356603596493
1513594452.2188365;1513594452;218836618;80;0.3159391322644864;-0.6668300301400373;0.0;0.0;0.0;-0.06583582074087134;0.9978304689211368
1513594452.228913;1513594452;228912990;80;0.3140141331382074;-0.6455660865970929;0.0;0.0;0.0;-0.12794926218618266;0.9917807148286417
1513594452.228913;1513594452;228912990;80;0.34971226761190455;-0.6673617997756437;0.0;0.0;0.0;-0.05064178573308758;0.9987168815724324
1513594452.228913;1513594452;228912990;80;0.34971226761190455;-0.6673617997756437;0.0;0.0;0.0;-0.05064178573308758;0.9987168815724324
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;80;0.34610305421101406;-0.6909861729723704;0.0;0.0;0.0;-0.0785338883562728;0.9969114446026008
1513594452.228913;1513594452;228912990;66;0.6547797444544469;-1.047119241733777;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.292857340294023;0.4412236668922366;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.149346969816698;0.6560392305895331;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.9890679495824918;0.835658983513033;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.8264462838908423;0.9754352147545245;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.6888910888136032;1.0675029063813977;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.5597125562096529;1.1456340065202129;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.31132018716929744;1.2629276647373493;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;0.001307487248734196;1.3467340485316173;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-0.3406926758123756;1.3701837802333758;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-0.7023645168485658;1.3190183470553212;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.0769324148030186;1.175772926526568;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.4367864764693448;0.9302380804252813;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.5902413403522424;0.7737541942493649;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.6808648141463576;0.6701258192996252;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.7990202724880788;0.5056665794851508;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-1.9109191153519987;0.2991102129223139;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-2.0005887628967964;0.06043159636960724;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-2.0582254782776377;-0.20533103476206477;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;-2.075358442252887;-0.493576991244239;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.529507057133755;-0.3887973962965961;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.4918827617954216;-0.08433430449455126;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.40996981072853;0.19360172421471206;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;4.722852720584908;-0.3617327897692767;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;4.659865879953094;0.1929551078306934;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;4.54220843921835;0.6963516028520396;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;4.377403015755092;1.1645731642412287;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;4.170388789220374;1.600805617880013;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.4968965771181368;-5.038719354168569;0.0;0.0;0.0;0.0;1.0
1513594452.228913;1513594452;228912990;66;1.826184070476875;-4.907150130248603;0.0;0.0;0.0;0.0;1.0
