time;sec;nsec;beacon_id;pdf_type;mean_x;mean_y;cov_00;cov_01;cov_10;cov_11
1513594509.396729;1513594509;396728992;180;1;0.642316405061106;-0.8357347486085567;5.03301034343099e-06;-1.0262291441487297e-06;-1.026229144148729e-06;4.794477745559117e-06
1513594509.396729;1513594509;396728992;179;1;4.567317897828999;-0.45206458123060306;3.5054768804433257e-06;1.8162325212896997e-06;1.8162325212897e-06;6.430175307781019e-06
1513594509.519834;1513594509;519834041;180;1;0.6421629912943946;-0.835835295102678;5.005878150886225e-06;-1.04401142599134e-06;-1.0440114259913391e-06;4.782823341035475e-06
1513594509.519834;1513594509;519834041;179;1;4.567317897828999;-0.45206458123060306;3.5054768804433257e-06;1.8162325212896997e-06;1.8162325212897e-06;6.430175307781019e-06
1513594509.561816;1513594509;561815977;180;1;0.6420650352755611;-0.8358949428547626;5.005318440729689e-06;-1.0438767841370725e-06;-1.0438767841370719e-06;4.783231165628604e-06
1513594509.561816;1513594509;561815977;179;1;4.566247609359014;-0.4523766423339307;3.479563375482789e-06;1.8086769910043152e-06;1.8086769910043156e-06;6.427972362329206e-06
1513594509.684681;1513594509;684680938;180;1;0.6418459860905269;-0.8360379889310577;4.9787364000516895e-06;-1.0613218985037903e-06;-1.0613218985037897e-06;4.771784352399627e-06
1513594509.684681;1513594509;684680938;179;1;4.566226378680599;-0.45237455547363803;3.4797121350803538e-06;1.8089157394883098e-06;1.8089157394883102e-06;6.4280974570134305e-06
1513594509.726746;1513594509;726746082;180;1;0.6416595996023223;-0.8361394645469798;4.97709244077336e-06;-1.060900124038831e-06;-1.0609001240388302e-06;4.772964244993049e-06
1513594509.726746;1513594509;726746082;179;1;4.565316617256966;-0.4526445927672902;3.4541148097997955e-06;1.8013525956757863e-06;1.8013525956757867e-06;6.425864315549798e-06
1513594509.893068;1513594509;893068075;180;1;0.6416595996023223;-0.8361394645469798;4.97709244077336e-06;-1.060900124038831e-06;-1.0609001240388302e-06;4.772964244993049e-06
1513594509.893068;1513594509;893068075;178;1;4.508290278680386;1.4124862185452005;2.1867974838377785e-05;-1.8183165610603446e-05;-1.818316561060344e-05;5.470543076380634e-05
1513594509.893068;1513594509;893068075;179;1;4.56443692117284;-0.45289797352017275;3.429044148781515e-06;1.794131439325648e-06;1.7941314393256485e-06;6.423784390373708e-06
1513594510.182331;1513594510;182331085;180;1;0.6413053552448971;-0.8363172221941023;4.9460246822139395e-06;-1.076489734845988e-06;-1.0764897348459873e-06;4.765141473850619e-06
1513594510.182331;1513594510;182331085;179;1;4.56443692117284;-0.45289797352017275;3.429044148781515e-06;1.794131439325648e-06;1.7941314393256485e-06;6.423784390373708e-06
1513594510.375117;1513594510;375117063;180;1;0.6412701911470774;-0.8363395689579421;4.946450194122353e-06;-1.076646183565982e-06;-1.0766461835659812e-06;4.764872854258668e-06
1513594510.375117;1513594510;375117063;177;1;0.46689814409061986;1.4379193856299115;7.878225518505859e-06;2.360974437161849e-06;2.360974437161847e-06;9.196707002603693e-06
1513594510.375117;1513594510;375117063;179;1;4.56443692117284;-0.45289797352017275;3.429044148781515e-06;1.794131439325648e-06;1.7941314393256485e-06;6.423784390373708e-06
1513594510.389254;1513594510;389254093;180;1;0.6413053552448971;-0.8363172221941023;4.9460246822139395e-06;-1.076489734845988e-06;-1.0764897348459873e-06;4.765141473850619e-06
1513594510.389254;1513594510;389254093;179;1;4.563362645863503;-0.45319152933871787;3.4046194244321297e-06;1.7874571539848176e-06;1.787457153984818e-06;6.421960579215243e-06
1513594510.51331;1513594510;513309955;180;1;0.6412889453573676;-0.8363246031553543;4.913692146563398e-06;-1.091032503185228e-06;-1.0910325031852273e-06;4.7586003193536545e-06
1513594510.51331;1513594510;513309955;179;1;4.563362645863503;-0.45319152933871787;3.4046194244321297e-06;1.7874571539848176e-06;1.787457153984818e-06;6.421960579215243e-06
1513594510.678348;1513594510;678348064;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594510.678348;1513594510;678348064;179;1;4.563362645863503;-0.45319152933871787;3.4046194244321297e-06;1.7874571539848176e-06;1.787457153984818e-06;6.421960579215243e-06
1513594510.720449;1513594510;720448970;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594510.720449;1513594510;720448970;179;1;4.562545758971952;-0.4534170704501061;3.3805023675019906e-06;1.7807984746992318e-06;1.7807984746992318e-06;6.4201221289450986e-06
1513594510.857244;1513594510;857244014;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594510.857244;1513594510;857244014;179;1;4.562539026189532;-0.45342143840405663;3.380447340565425e-06;1.7807096449284883e-06;1.7807096449284885e-06;6.420077047835974e-06
